,Rank within filtered selection,Nationwide rank,Zip code,City,Metro area,County,State,Total population,Population per sq. mi.,Per capita income,Median household income,Median home value,Poverty rate,Median age,Sq. mi.,Homeownership rate,"County, state"
0,1.0,1.0,10024,New York,"New York-Newark-Jersey City, NY-NJ",New York County,NY,63115,71302.70156212583,147036.0,181560.0,1687800.0,0.0823878287777204,44.3,0.8851698269105286,0.303797124296703,"New York County, NY"
1,2.0,2.0,10023,New York,"New York-Newark-Jersey City, NY-NJ",New York County,NY,69455,71656.15271089016,137528.0,159874.0,1358100.0,0.0843769521373114,43.2,0.9692817346785124,0.3063166880068289,"New York County, NY"
2,3.0,3.0,10011,New York,"New York-Newark-Jersey City, NY-NJ",New York County,NY,48277,74562.12005724678,141874.0,145987.0,1181200.0,0.0934555367146751,42.0,0.6474735423688894,0.2864112498206342,"New York County, NY"
7,4.0,4.0,11217,Brooklyn,"New York-Newark-Jersey City, NY-NJ",Kings County,NY,43490,59013.505629244726,111192.0,162863.0,1636500.0,0.0959577143389372,36.3,0.7369499496137051,0.2564265890167888,"Kings County, NY"
11,5.0,5.0,11215,Brooklyn,"New York-Newark-Jersey City, NY-NJ",Kings County,NY,70441,32185.501151375593,106877.0,185865.0,1622300.0,0.0555786277907459,37.6,2.1885941644562332,0.3898462395198465,"Kings County, NY"
13,6.0,6.0,94114,San Francisco,"San Francisco-Oakland-Fremont, CA",San Francisco County,CA,33020,23847.15934519592,146284.0,204134.0,1737300.0,0.0581681289656638,41.9,1.3846512920899308,0.405838793884183,"San Francisco County, CA"
14,7.0,7.0,60611,Chicago,"Chicago-Naperville-Elgin, IL-IN",Cook County,IL,37705,47551.851421726526,129700.0,125675.0,650800.0,0.0731636015732964,36.6,0.7929239109031309,0.347320738815928,"Cook County, IL"
20,8.0,8.0,94116,San Francisco,"San Francisco-Oakland-Fremont, CA",San Francisco County,CA,43791,17335.523528039746,76447.0,158921.0,1502700.0,0.0719904593720615,45.6,2.5260846566975164,0.683851081832467,"San Francisco County, CA"
27,9.0,9.0,94127,San Francisco,"San Francisco-Oakland-Fremont, CA",San Francisco County,CA,20288,10878.577748627851,113454.0,214167.0,1847400.0,0.0432900432900432,46.7,1.8649496716203535,0.7986445979408315,"San Francisco County, CA"
28,10.0,10.0,07030,Hoboken,"New York-Newark-Jersey City, NY-NJ",Hudson County,NJ,58668,46960.06676725227,109360.0,180579.0,895100.0,0.0777861670558901,31.9,1.2493167927289297,0.313328265970455,"Hudson County, NJ"
31,11.0,11.0,33131,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",Miami-Dade County,FL,23095,46084.30816701529,120707.0,144138.0,655100.0,0.0743450963411993,35.9,0.5011467225742184,0.2593834850662833,"Miami-Dade County, FL"
40,12.0,12.0,94117,San Francisco,"San Francisco-Oakland-Fremont, CA",San Francisco County,CA,36198,28400.72171385001,122043.0,167066.0,1601100.0,0.0953771016363993,35.2,1.2745450754636118,0.2555931518610171,"San Francisco County, CA"
43,13.0,13.0,60654,Chicago,"Chicago-Naperville-Elgin, IL-IN",Cook County,IL,25755,47536.383489697095,128530.0,147357.0,500400.0,0.0725308042134722,32.2,0.5417955281680624,0.3133207241286139,"Cook County, IL"
44,14.0,14.0,20009,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,DC,50150,38048.25705891141,111612.0,146664.0,722500.0,0.0865567596802948,34.4,1.318063004104263,0.3220307231172724,"District of Columbia, DC"
45,15.0,15.0,94123,San Francisco,"San Francisco-Oakland-Fremont, CA",San Francisco County,CA,24054,22425.503842595757,170097.0,218603.0,2000001.0,0.0491099345478801,32.9,1.072618040996297,0.2535527794302333,"San Francisco County, CA"
47,16.0,16.0,90254,Hermosa Beach,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,CA,19063,13336.100883122355,111872.0,166442.0,2000001.0,0.0561194971861358,42.7,1.4294282989509612,0.4353394318728936,"Los Angeles County, CA"
51,17.0,17.0,19103,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,PA,25900,40124.52402001658,110978.0,99644.0,582500.0,0.085972140474789,35.0,0.6454905231294329,0.2594784449576597,"Philadelphia County, PA"
54,18.0,18.0,94131,San Francisco,"San Francisco-Oakland-Fremont, CA",San Francisco County,CA,28504,14096.596667802794,119085.0,199211.0,1713300.0,0.0598391000996725,39.9,2.022048347677018,0.4857758620689655,"San Francisco County, CA"
55,19.0,19.0,94118,San Francisco,"San Francisco-Oakland-Fremont, CA",San Francisco County,CA,39130,19513.68032943604,108384.0,163995.0,1784700.0,0.0590861131401671,38.8,2.005259865868208,0.3125194643413267,"San Francisco County, CA"
56,20.0,20.0,94121,San Francisco,"San Francisco-Oakland-Fremont, CA",San Francisco County,CA,41995,16568.84495257617,88205.0,133358.0,1611400.0,0.0855001676004405,44.5,2.534576195274885,0.403701269151034,"San Francisco County, CA"
57,21.0,21.0,94122,San Francisco,"San Francisco-Oakland-Fremont, CA",San Francisco County,CA,55819,17137.05155731676,78542.0,146250.0,1517700.0,0.0851544289044289,43.1,3.257211417804702,0.445513879709187,"San Francisco County, CA"
59,22.0,22.0,07302,Jersey City,"New York-Newark-Jersey City, NY-NJ",Hudson County,NJ,56220,39234.72295198847,114324.0,175077.0,865100.0,0.0684128714109596,34.2,1.4329144127969606,0.2229849495633117,"Hudson County, NJ"
64,23.0,23.0,02446,Brookline,"Boston-Cambridge-Newton, MA-NH",Norfolk County,MA,31310,24407.988041099463,90791.0,131963.0,1181500.0,0.0961725591955887,34.8,1.2827767674778667,0.3584268933740022,"Norfolk County, MA"
