STATE,STATEFP,COUNTYFP,COUNTY_CODE,COUNTYNS,COUNTYNAME,CLASSFP,FUNCSTAT
AL,1,1,01001,161526,Autauga County,H1,A
AL,1,3,01003,161527,Baldwin County,H1,A
AL,1,5,01005,161528,Barbour County,H1,A
AL,1,7,01007,161529,Bibb County,H1,A
AL,1,9,01009,161530,Blount County,H1,A
AL,1,11,01011,161531,Bullock County,H1,A
AL,1,13,01013,161532,Butler County,H1,A
AL,1,15,01015,161533,Calhoun County,H1,A
AL,1,17,01017,161534,Chambers County,H1,A
AL,1,19,01019,161535,Cherokee County,H1,A
AL,1,21,01021,161536,Chilton County,H1,A
AL,1,23,01023,161537,Choctaw County,H1,A
AL,1,25,01025,161538,Clarke County,H1,A
AL,1,27,01027,161539,Clay County,H1,A
AL,1,29,01029,161540,Cleburne County,H1,A
AL,1,31,01031,161541,Coffee County,H1,A
AL,1,33,01033,161542,Colbert County,H1,A
AL,1,35,01035,161543,Conecuh County,H1,A
AL,1,37,01037,161544,Coosa County,H1,A
AL,1,39,01039,161545,Covington County,H1,A
AL,1,41,01041,161546,Crenshaw County,H1,A
AL,1,43,01043,161547,Cullman County,H1,A
AL,1,45,01045,161548,Dale County,H1,A
AL,1,47,01047,161549,Dallas County,H1,A
AL,1,49,01049,161550,DeKalb County,H1,A
AL,1,51,01051,161551,Elmore County,H1,A
AL,1,53,01053,161552,Escambia County,H1,A
AL,1,55,01055,161553,Etowah County,H1,A
AL,1,57,01057,161554,Fayette County,H1,A
AL,1,59,01059,161555,Franklin County,H1,A
AL,1,61,01061,161556,Geneva County,H1,A
AL,1,63,01063,161557,Greene County,H1,A
AL,1,65,01065,161558,Hale County,H1,A
AL,1,67,01067,161559,Henry County,H1,A
AL,1,69,01069,161560,Houston County,H1,A
AL,1,71,01071,161561,Jackson County,H1,A
AL,1,73,01073,161562,Jefferson County,H1,A
AL,1,75,01075,161563,Lamar County,H1,A
AL,1,77,01077,161564,Lauderdale County,H1,A
AL,1,79,01079,161565,Lawrence County,H1,A
AL,1,81,01081,161566,Lee County,H1,A
AL,1,83,01083,161567,Limestone County,H1,A
AL,1,85,01085,161568,Lowndes County,H1,A
AL,1,87,01087,161569,Macon County,H1,A
AL,1,89,01089,161570,Madison County,H1,A
AL,1,91,01091,161572,Marengo County,H1,A
AL,1,93,01093,161573,Marion County,H1,A
AL,1,95,01095,161574,Marshall County,H1,A
AL,1,97,01097,161575,Mobile County,H1,A
AL,1,99,01099,161576,Monroe County,H1,A
AL,1,101,01101,161577,Montgomery County,H1,A
AL,1,103,01103,161578,Morgan County,H1,A
AL,1,105,01105,161579,Perry County,H1,A
AL,1,107,01107,161580,Pickens County,H1,A
AL,1,109,01109,161581,Pike County,H1,A
AL,1,111,01111,161582,Randolph County,H1,A
AL,1,113,01113,161583,Russell County,H1,A
AL,1,115,01115,164997,St. Clair County,H1,A
AL,1,117,01117,161584,Shelby County,H1,A
AL,1,119,01119,161585,Sumter County,H1,A
AL,1,121,01121,161586,Talladega County,H1,A
AL,1,123,01123,161587,Tallapoosa County,H1,A
AL,1,125,01125,161588,Tuscaloosa County,H1,A
AL,1,127,01127,161589,Walker County,H1,A
AL,1,129,01129,161590,Washington County,H1,A
AL,1,131,01131,161591,Wilcox County,H1,A
AL,1,133,01133,161592,Winston County,H1,A
AK,2,13,02013,1419964,Aleutians East Borough,H1,A
AK,2,16,02016,1419965,Aleutians West Census Area,H5,S
AK,2,20,02020,1416061,Anchorage Municipality,H6,C
AK,2,50,02050,1419966,Bethel Census Area,H5,S
AK,2,60,02060,1419967,Bristol Bay Borough,H1,A
AK,2,63,02063,2804400,Chugach Census Area,H5,S
AK,2,66,02066,2804401,Copper River Census Area,H5,S
AK,2,68,02068,1419988,Denali Borough,H1,A
AK,2,70,02070,1419968,Dillingham Census Area,H5,S
AK,2,90,02090,1419969,Fairbanks North Star Borough,H1,A
AK,2,100,02100,1419970,Haines Borough,H1,A
AK,2,105,02105,2371430,Hoonah-Angoon Census Area,H5,S
AK,2,110,02110,1419971,Juneau City and Borough,H6,C
AK,2,122,02122,1419972,Kenai Peninsula Borough,H1,A
AK,2,130,02130,1419973,Ketchikan Gateway Borough,H1,A
AK,2,150,02150,1419974,Kodiak Island Borough,H1,A
AK,2,158,02158,1419985,Kusilvak Census Area,H5,S
AK,2,164,02164,1419975,Lake and Peninsula Borough,H1,A
AK,2,170,02170,1419976,Matanuska-Susitna Borough,H1,A
AK,2,180,02180,1419977,Nome Census Area,H5,S
AK,2,185,02185,1419978,North Slope Borough,H1,A
AK,2,188,02188,1419979,Northwest Arctic Borough,H1,A
AK,2,195,02195,2516404,Petersburg Borough,H1,A
AK,2,198,02198,1419980,Prince of Wales-Hyder Census Area,H5,S
AK,2,220,02220,1419981,Sitka City and Borough,H6,C
AK,2,230,02230,2339479,Skagway Municipality,H1,A
AK,2,240,02240,1419983,Southeast Fairbanks Census Area,H5,S
AK,2,275,02275,2516402,Wrangell City and Borough,H6,C
AK,2,282,02282,1419986,Yakutat City and Borough,H1,A
AK,2,290,02290,1419987,Yukon-Koyukuk Census Area,H5,S
AZ,4,1,04001,25441,Apache County,H1,A
AZ,4,3,04003,25442,Cochise County,H1,A
AZ,4,5,04005,25443,Coconino County,H1,A
AZ,4,7,04007,40471,Gila County,H1,A
AZ,4,9,04009,25444,Graham County,H1,A
AZ,4,11,04011,42807,Greenlee County,H1,A
AZ,4,12,04012,43540,La Paz County,H1,A
AZ,4,13,04013,37026,Maricopa County,H1,A
AZ,4,15,04015,25445,Mohave County,H1,A
AZ,4,17,04017,42808,Navajo County,H1,A
AZ,4,19,04019,25446,Pima County,H1,A
AZ,4,21,04021,25447,Pinal County,H1,A
AZ,4,23,04023,40472,Santa Cruz County,H1,A
AZ,4,25,04025,42809,Yavapai County,H1,A
AZ,4,27,04027,23901,Yuma County,H1,A
AR,5,1,05001,63755,Arkansas County,H1,A
AR,5,3,05003,63756,Ashley County,H1,A
AR,5,5,05005,69895,Baxter County,H1,A
AR,5,7,05007,69896,Benton County,H1,A
AR,5,9,05009,69897,Boone County,H1,A
AR,5,11,05011,63757,Bradley County,H1,A
AR,5,13,05013,63758,Calhoun County,H1,A
AR,5,15,05015,66975,Carroll County,H1,A
AR,5,17,05017,69160,Chicot County,H1,A
AR,5,19,05019,66845,Clark County,H1,A
AR,5,21,05021,63759,Clay County,H1,A
AR,5,23,05023,66983,Cleburne County,H1,A
AR,5,25,05025,63760,Cleveland County,H1,A
AR,5,27,05027,63761,Columbia County,H1,A
AR,5,29,05029,66846,Conway County,H1,A
AR,5,31,05031,66847,Craighead County,H1,A
AR,5,33,05033,69161,Crawford County,H1,A
AR,5,35,05035,69162,Crittenden County,H1,A
AR,5,37,05037,66848,Cross County,H1,A
AR,5,39,05039,66849,Dallas County,H1,A
AR,5,41,05041,66850,Desha County,H1,A
AR,5,43,05043,66851,Drew County,H1,A
AR,5,45,05045,66852,Faulkner County,H1,A
AR,5,47,05047,66853,Franklin County,H1,A
AR,5,49,05049,66854,Fulton County,H1,A
AR,5,51,05051,66855,Garland County,H1,A
AR,5,53,05053,66856,Grant County,H1,A
AR,5,55,05055,66857,Greene County,H1,A
AR,5,57,05057,66858,Hempstead County,H1,A
AR,5,59,05059,66859,Hot Spring County,H1,A
AR,5,61,05061,66872,Howard County,H1,A
AR,5,63,05063,69163,Independence County,H1,A
AR,5,65,05065,66860,Izard County,H1,A
AR,5,67,05067,66861,Jackson County,H1,A
AR,5,69,05069,66862,Jefferson County,H1,A
AR,5,71,05071,66863,Johnson County,H1,A
AR,5,73,05073,66864,Lafayette County,H1,A
AR,5,75,05075,66865,Lawrence County,H1,A
AR,5,77,05077,66866,Lee County,H1,A
AR,5,79,05079,66873,Lincoln County,H1,A
AR,5,81,05081,66874,Little River County,H1,A
AR,5,83,05083,82850,Logan County,H1,A
AR,5,85,05085,69164,Lonoke County,H1,A
AR,5,87,05087,69165,Madison County,H1,A
AR,5,89,05089,69898,Marion County,H1,A
AR,5,91,05091,69166,Miller County,H1,A
AR,5,93,05093,69899,Mississippi County,H1,A
AR,5,95,05095,69167,Monroe County,H1,A
AR,5,97,05097,69168,Montgomery County,H1,A
AR,5,99,05099,69169,Nevada County,H1,A
AR,5,101,05101,69900,Newton County,H1,A
AR,5,103,05103,69170,Ouachita County,H1,A
AR,5,105,05105,69171,Perry County,H1,A
AR,5,107,05107,69172,Phillips County,H1,A
AR,5,109,05109,69173,Pike County,H1,A
AR,5,111,05111,69174,Poinsett County,H1,A
AR,5,113,05113,69175,Polk County,H1,A
AR,5,115,05115,69901,Pope County,H1,A
AR,5,117,05117,69176,Prairie County,H1,A
AR,5,119,05119,69177,Pulaski County,H1,A
AR,5,121,05121,69178,Randolph County,H1,A
AR,5,123,05123,83331,St. Francis County,H1,A
AR,5,125,05125,67102,Saline County,H1,A
AR,5,127,05127,69179,Scott County,H1,A
AR,5,129,05129,69180,Searcy County,H1,A
AR,5,131,05131,69181,Sebastian County,H1,A
AR,5,133,05133,69182,Sevier County,H1,A
AR,5,135,05135,69183,Sharp County,H1,A
AR,5,137,05137,69902,Stone County,H1,A
AR,5,139,05139,69903,Union County,H1,A
AR,5,141,05141,69904,Van Buren County,H1,A
AR,5,143,05143,69905,Washington County,H1,A
AR,5,145,05145,69906,White County,H1,A
AR,5,147,05147,69907,Woodruff County,H1,A
AR,5,149,05149,69908,Yell County,H1,A
CA,6,1,06001,1675839,Alameda County,H1,A
CA,6,3,06003,1675840,Alpine County,H1,A
CA,6,5,06005,1675841,Amador County,H1,A
CA,6,7,06007,1675842,Butte County,H1,A
CA,6,9,06009,1675885,Calaveras County,H1,A
CA,6,11,06011,1675902,Colusa County,H1,A
CA,6,13,06013,1675903,Contra Costa County,H1,A
CA,6,15,06015,1682074,Del Norte County,H1,A
CA,6,17,06017,277273,El Dorado County,H1,A
CA,6,19,06019,277274,Fresno County,H1,A
CA,6,21,06021,277275,Glenn County,H1,A
CA,6,23,06023,1681908,Humboldt County,H1,A
CA,6,25,06025,277277,Imperial County,H1,A
