zip,county,ZIP-county lookup,County name,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio
00501,36103,0050136103,Suffolk,HOLTSVILLE,NY,0.000000000,1.000000000,0.000000000,1.000000000
00601,72001,0060172001,Adjuntas,ADJUNTAS,PR,0.840207075,0.801980198,0.871951220,0.838598146
00602,72003,0060272003,Aguada,AGUADA,PR,1.000000000,0.998996991,1.000000000,0.999921123
00603,72005,0060372005,Aguadilla,AGUADILLA,PR,0.997118635,0.999084249,1.000000000,0.997310191
00604,72005,0060472005,Aguadilla,AGUADILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00605,72005,0060572005,Aguadilla,AGUADILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00606,72093,0060672093,Maricao,MARICAO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00610,72011,0061072011,Anasco,ANASCO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00611,72141,0061172141,Utuado,ANGELES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00612,72013,0061272013,Arecibo,ARECIBO,PR,0.993238617,0.999193223,0.996955860,0.993887715
00613,72013,0061372013,Arecibo,ARECIBO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00614,72013,0061472013,Arecibo,ARECIBO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00616,72013,0061672013,Arecibo,BAJADERO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00617,72017,0061772017,Barceloneta,BARCELONETA,PR,0.897816272,0.953125000,1.000000000,0.901852650
00622,72023,0062272023,Cabo Rojo,BOQUERON,PR,1.000000000,1.000000000,1.000000000,1.000000000
00623,72023,0062372023,Cabo Rojo,CABO ROJO,PR,0.999163018,1.000000000,1.000000000,0.999219219
00624,72111,0062472111,Penuelas,PENUELAS,PR,0.998933476,0.979949875,1.000000000,0.997983617
00627,72027,0062772027,Camuy,CAMUY,PR,1.000000000,1.000000000,1.000000000,1.000000000
00631,72081,0063172081,Lares,CASTANER,PR,0.000000000,0.000000000,1.000000000,1.000000000
00637,72121,0063772121,Sabana Grande,SABANA GRANDE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00638,72039,0063872039,#N/A,CIALES,PR,0.999369880,0.990291262,1.000000000,0.998956470
00641,72141,0064172141,Utuado,UTUADO,PR,0.972042348,0.995398773,0.709090909,0.969372274
00646,72051,0064672051,Dorado,DORADO,PR,0.968895801,0.988517745,1.000000000,0.970343785
00647,72055,0064772055,Guanica,ENSENADA,PR,0.991960953,1.000000000,1.000000000,0.992213571
00650,72054,0065072054,Florida,FLORIDA,PR,0.856354607,0.993827160,0.851851852,0.860291504
00652,72013,0065272013,Arecibo,GARROCHALES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00653,72055,0065372055,Guanica,GUANICA,PR,0.995119488,1.000000000,1.000000000,0.995404120
00656,72059,0065672059,Guayanilla,GUAYANILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00659,72065,0065972065,Hatillo,HATILLO,PR,0.991450777,0.997627521,1.000000000,0.991947700
00660,72067,0066072067,Hormigueros,HORMIGUEROS,PR,0.995466511,0.996677741,1.000000000,0.995569094
00662,72071,0066272071,Isabela,ISABELA,PR,0.987067386,0.990434143,1.000000000,0.987444466
00664,72073,0066472073,Jayuya,JAYUYA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00667,72079,0066772079,Lajas,LAJAS,PR,0.999661858,0.997797357,1.000000000,0.999573833
00669,72081,0066972081,Lares,LARES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00670,72083,0067072083,Las Marias,LAS MARIAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00674,72091,0067472091,Manati,MANATI,PR,0.975801291,0.970302684,0.973977695,0.975274582
00676,72099,0067672099,Moca,MOCA,PR,0.998837824,1.000000000,1.000000000,0.998900879
00677,72117,0067772117,Rincon,RINCON,PR,1.000000000,1.000000000,1.000000000,1.000000000
00678,72115,0067872115,Quebradillas,QUEBRADILLAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00680,72097,0068072097,Mayaguez,MAYAGUEZ,PR,0.999809024,0.999617152,1.000000000,0.999796731
00681,72097,0068172097,Mayaguez,MAYAGUEZ,PR,1.000000000,1.000000000,1.000000000,1.000000000
00682,72097,0068272097,Mayaguez,MAYAGUEZ,PR,1.000000000,1.000000000,1.000000000,1.000000000
00683,72125,0068372125,San German,SAN GERMAN,PR,0.953036053,0.996655518,0.980769231,0.956300444
00685,72131,0068572131,San Sabastian,SAN SEBASTIAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00687,72101,0068772101,Morovis,MOROVIS,PR,0.972365436,0.997524752,1.000000000,0.973573043
