ZIP,CBSA,CBSA_NAME,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
501,35620,"New York-Newark-Jersey City, NY-NJ",HOLTSVILLE,NY,0,1,0,1
601,29720,"Lares, PR",ADJUNTAS,PR,0.002548853,0.005050505,0.012048193,0.002947107
601,99999,Not in CBSA,ADJUNTAS,PR,0.997451147,0.994949495,0.987951807,0.997052893
602,10380,"Aguadilla, PR",AGUADA,PR,1,1,1,1
603,10380,"Aguadilla, PR",AGUADILLA,PR,1,1,1,1
604,10380,"Aguadilla, PR",AGUADILLA,PR,1,1,1,1
605,10380,"Aguadilla, PR",AGUADILLA,PR,1,1,1,1
606,99999,Not in CBSA,MARICAO,PR,1,1,1,1
610,10380,"Aguadilla, PR",ANASCO,PR,1,1,1,1
611,46580,"Utuado, PR",ANGELES,PR,1,1,1,1
612,11640,"Arecibo, PR",ARECIBO,PR,0.997058824,1,0.998544396,0.997370565
612,41980,"San Juan-Bayamón-Caguas, PR",ARECIBO,PR,0.002731092,0,0,0.002407229
612,46580,"Utuado, PR",ARECIBO,PR,0.000210084,0,0.001455604,0.000222206
613,11640,"Arecibo, PR",ARECIBO,PR,1,1,1,1
614,11640,"Arecibo, PR",ARECIBO,PR,1,1,1,1
616,11640,"Arecibo, PR",BAJADERO,PR,1,1,1,1
617,41980,"San Juan-Bayamón-Caguas, PR",BARCELONETA,PR,1,1,1,1
622,32420,"Mayagüez, PR",BOQUERON,PR,1,1,1,1
623,32420,"Mayagüez, PR",CABO ROJO,PR,1,1,1,1
624,38660,"Ponce, PR",PENUELAS,PR,1,1,1,1
627,11640,"Arecibo, PR",CAMUY,PR,1,1,1,1
631,29720,"Lares, PR",CASTANER,PR,0,0,1,1
637,32420,"Mayagüez, PR",SABANA GRANDE,PR,1,1,1,1
638,41980,"San Juan-Bayamón-Caguas, PR",CIALES,PR,1,1,1,1
641,38660,"Ponce, PR",UTUADO,PR,0.003923936,0,0,0.003622515
641,46580,"Utuado, PR",UTUADO,PR,0.996076064,1,1,0.996377485
646,41980,"San Juan-Bayamón-Caguas, PR",DORADO,PR,1,1,1,1
647,32420,"Mayagüez, PR",ENSENADA,PR,0.004004577,0,0,0.003878116
647,99999,Not in CBSA,ENSENADA,PR,0.995995423,1,1,0.996121884
650,11640,"Arecibo, PR",FLORIDA,PR,0.001079525,0,0,0.001044386
650,41980,"San Juan-Bayamón-Caguas, PR",FLORIDA,PR,0.998920475,1,1,0.998955614
652,11640,"Arecibo, PR",GARROCHALES,PR,1,1,1,1
653,38660,"Ponce, PR",GUANICA,PR,0.003354016,0,0,0.003161555
653,99999,Not in CBSA,GUANICA,PR,0.996645984,1,1,0.996838445
656,38660,"Ponce, PR",GUAYANILLA,PR,1,1,1,1
659,11640,"Arecibo, PR",HATILLO,PR,1,1,1,1
660,32420,"Mayagüez, PR",HORMIGUEROS,PR,1,1,1,1
662,10380,"Aguadilla, PR",ISABELA,PR,0.99914072,1,1,0.999206497
662,11640,"Arecibo, PR",ISABELA,PR,0.00085928,0,0,0.000793503
664,99999,Not in CBSA,JAYUYA,PR,1,1,1,1
667,32420,"Mayagüez, PR",LAJAS,PR,1,1,1,1
669,29720,"Lares, PR",LARES,PR,1,1,1,1
670,99999,Not in CBSA,LAS MARIAS,PR,1,1,1,1
674,41980,"San Juan-Bayamón-Caguas, PR",MANATI,PR,1,1,1,1
676,10380,"Aguadilla, PR",MOCA,PR,1,1,1,1
677,10380,"Aguadilla, PR",RINCON,PR,1,1,1,1
678,11640,"Arecibo, PR",QUEBRADILLAS,PR,1,1,1,1
680,10380,"Aguadilla, PR",MAYAGUEZ,PR,0.000047041,0,0,0.000039899
680,32420,"Mayagüez, PR",MAYAGUEZ,PR,0.999952959,1,1,0.999960101
681,32420,"Mayagüez, PR",MAYAGUEZ,PR,1,1,1,1
682,32420,"Mayagüez, PR",MAYAGUEZ,PR,1,1,1,1
683,32420,"Mayagüez, PR",SAN GERMAN,PR,1,1,1,1
685,10380,"Aguadilla, PR",SAN SEBASTIAN,PR,1,1,1,1
687,41980,"San Juan-Bayamón-Caguas, PR",MOROVIS,PR,1,1,1,1
688,11640,"Arecibo, PR",SABANA HOYOS,PR,1,1,1,1
690,10380,"Aguadilla, PR",SAN ANTONIO,PR,1,1,1,1
692,41980,"San Juan-Bayamón-Caguas, PR",VEGA ALTA,PR,1,1,1,1
